 (1.77778,-3.3256)
 (1.77747,-3.32473)
 (1.77716,-3.32386)
 (1.77685,-3.32299)
 (1.77654,-3.32212)
 (1.77623,-3.32125)
 (1.77592,-3.32038)
 (1.77562,-3.31951)
 (1.77531,-3.31865)
 (1.775,-3.31778)
 (1.77469,-3.31691)
 (1.77439,-3.31605)
 (1.77408,-3.31518)
 (1.77377,-3.31432)
 (1.77346,-3.31345)
 (1.77316,-3.31259)
 (1.77285,-3.31172)
 (1.77254,-3.31086)
 (1.77224,-3.31)
 (1.77193,-3.30914)
 (1.77163,-3.30827)
 (1.77132,-3.30741)
 (1.77101,-3.30655)
 (1.77071,-3.30569)
 (1.7704,-3.30483)
 (1.7701,-3.30397)
 (1.76979,-3.30311)
 (1.76949,-3.30225)
 (1.76918,-3.30139)
 (1.76888,-3.30054)
 (1.76857,-3.29968)
 (1.76827,-3.29882)
 (1.76796,-3.29796)
 (1.76766,-3.29711)
 (1.76735,-3.29625)
 (1.76705,-3.2954)
 (1.76675,-3.29454)
 (1.76644,-3.29369)
 (1.76614,-3.29283)
 (1.76583,-3.29198)
 (1.76553,-3.29112)
 (1.76523,-3.29027)
 (1.76492,-3.28942)
 (1.76462,-3.28857)
 (1.76432,-3.28771)
 (1.76402,-3.28686)
 (1.76371,-3.28601)
 (1.76341,-3.28516)
 (1.76311,-3.28431)
 (1.76281,-3.28346)
 (1.7625,-3.28261)
 (1.7622,-3.28176)
 (1.7619,-3.28091)
 (1.7616,-3.28007)
 (1.7613,-3.27922)
 (1.761,-3.27837)
 (1.7607,-3.27753)
 (1.76039,-3.27668)
 (1.76009,-3.27583)
 (1.75979,-3.27499)
 (1.75949,-3.27414)
 (1.75919,-3.2733)
 (1.75889,-3.27245)
 (1.75859,-3.27161)
 (1.75829,-3.27077)
 (1.75799,-3.26992)
 (1.75769,-3.26908)
 (1.75739,-3.26824)
 (1.75709,-3.2674)
 (1.75679,-3.26656)
 (1.75649,-3.26572)
 (1.75619,-3.26487)
 (1.7559,-3.26403)
 (1.7556,-3.26319)
 (1.7553,-3.26236)
 (1.755,-3.26152)
 (1.7547,-3.26068)
 (1.7544,-3.25984)
 (1.7541,-3.259)
 (1.75381,-3.25817)
 (1.75351,-3.25733)
 (1.75321,-3.25649)
 (1.75291,-3.25566)
 (1.75262,-3.25482)
 (1.75232,-3.25399)
 (1.75202,-3.25315)
 (1.75172,-3.25232)
 (1.75143,-3.25148)
 (1.75113,-3.25065)
 (1.75083,-3.24982)
 (1.75054,-3.24898)
 (1.75024,-3.24815)
 (1.74994,-3.24732)
 (1.74965,-3.24649)
 (1.74935,-3.24566)
 (1.74906,-3.24483)
 (1.74876,-3.244)
 (1.74847,-3.24317)
 (1.74817,-3.24234)
 (1.74787,-3.24151)
 (1.74758,-3.24068)
 (1.74728,-3.23985)
 (1.74699,-3.23902)
 (1.74669,-3.2382)
 (1.7464,-3.23737)
 (1.74611,-3.23654)
 (1.74581,-3.23572)
 (1.74552,-3.23489)
 (1.74522,-3.23407)
 (1.74493,-3.23324)
 (1.74463,-3.23242)
 (1.74434,-3.23159)
 (1.74405,-3.23077)
 (1.74375,-3.22994)
 (1.74346,-3.22912)
 (1.74317,-3.2283)
 (1.74287,-3.22748)
 (1.74258,-3.22665)
 (1.74229,-3.22583)
 (1.742,-3.22501)
 (1.7417,-3.22419)
 (1.74141,-3.22337)
 (1.74112,-3.22255)
 (1.74083,-3.22173)
 (1.74054,-3.22091)
 (1.74024,-3.22009)
 (1.73995,-3.21928)
 (1.73966,-3.21846)
 (1.73937,-3.21764)
 (1.73908,-3.21682)
 (1.73879,-3.21601)
 (1.73849,-3.21519)
 (1.7382,-3.21438)
 (1.73791,-3.21356)
 (1.73762,-3.21275)
 (1.73733,-3.21193)
 (1.73704,-3.21112)
 (1.73675,-3.2103)
 (1.73646,-3.20949)
 (1.73617,-3.20868)
 (1.73588,-3.20786)
 (1.73559,-3.20705)
 (1.7353,-3.20624)
 (1.73501,-3.20543)
 (1.73472,-3.20462)
 (1.73443,-3.20381)
 (1.73414,-3.203)
 (1.73386,-3.20219)
 (1.73357,-3.20138)
 (1.73328,-3.20057)
 (1.73299,-3.19976)
 (1.7327,-3.19895)
 (1.73241,-3.19814)
 (1.73212,-3.19734)
 (1.73184,-3.19653)
 (1.73155,-3.19572)
 (1.73126,-3.19491)
 (1.73097,-3.19411)
 (1.73069,-3.1933)
 (1.7304,-3.1925)
 (1.73011,-3.19169)
 (1.72982,-3.19089)
 (1.72954,-3.19008)
 (1.72925,-3.18928)
 (1.72896,-3.18848)
 (1.72868,-3.18767)
 (1.72839,-3.18687)
 (1.7281,-3.18607)
 (1.72782,-3.18527)
 (1.72753,-3.18447)
 (1.72724,-3.18367)
 (1.72696,-3.18287)
 (1.72667,-3.18207)
 (1.72639,-3.18127)
 (1.7261,-3.18047)
 (1.72582,-3.17967)
 (1.72553,-3.17887)
 (1.72525,-3.17807)
 (1.72496,-3.17727)
 (1.72468,-3.17647)
 (1.72439,-3.17568)
 (1.72411,-3.17488)
 (1.72382,-3.17408)
 (1.72354,-3.17329)
 (1.72325,-3.17249)
 (1.72297,-3.1717)
 (1.72269,-3.1709)
 (1.7224,-3.17011)
 (1.72212,-3.16931)
 (1.72183,-3.16852)
 (1.72155,-3.16773)
 (1.72127,-3.16693)
 (1.72098,-3.16614)
 (1.7207,-3.16535)
 (1.72042,-3.16456)
 (1.72014,-3.16377)
 (1.71985,-3.16297)
 (1.71957,-3.16218)
 (1.71929,-3.16139)
 (1.719,-3.1606)
 (1.71872,-3.15981)
 (1.71844,-3.15902)
 (1.71816,-3.15824)
 (1.71788,-3.15745)
 (1.7176,-3.15666)
 (1.71731,-3.15587)
 (1.71703,-3.15508)
 (1.71675,-3.1543)
 (1.71647,-3.15351)
 (1.71619,-3.15272)
 (1.71591,-3.15194)
 (1.71563,-3.15115)
 (1.71535,-3.15037)
 (1.71507,-3.14958)
 (1.71478,-3.1488)
 (1.7145,-3.14802)
 (1.71422,-3.14723)
 (1.71394,-3.14645)
 (1.71366,-3.14567)
 (1.71338,-3.14488)
 (1.7131,-3.1441)
 (1.71282,-3.14332)
 (1.71255,-3.14254)
 (1.71227,-3.14176)
 (1.71199,-3.14098)
 (1.71171,-3.1402)
 (1.71143,-3.13942)
 (1.71115,-3.13864)
 (1.71087,-3.13786)
 (1.71059,-3.13708)
 (1.71031,-3.1363)
 (1.71004,-3.13552)
 (1.70976,-3.13474)
 (1.70948,-3.13397)
 (1.7092,-3.13319)
 (1.70892,-3.13241)
 (1.70865,-3.13164)
 (1.70837,-3.13086)
 (1.70809,-3.13009)
 (1.70781,-3.12931)
 (1.70754,-3.12854)
 (1.70726,-3.12776)
 (1.70698,-3.12699)
 (1.7067,-3.12621)
 (1.70643,-3.12544)
 (1.70615,-3.12467)
 (1.70587,-3.1239)
 (1.7056,-3.12312)
 (1.70532,-3.12235)
 (1.70505,-3.12158)
 (1.70477,-3.12081)
 (1.70449,-3.12004)
 (1.70422,-3.11927)
 (1.70394,-3.1185)
 (1.70367,-3.11773)
 (1.70339,-3.11696)
 (1.70312,-3.11619)
 (1.70284,-3.11542)
 (1.70256,-3.11465)
 (1.70229,-3.11389)
 (1.70201,-3.11312)
 (1.70174,-3.11235)
 (1.70147,-3.11158)
 (1.70119,-3.11082)
 (1.70092,-3.11005)
 (1.70064,-3.10929)
 (1.70037,-3.10852)
 (1.70009,-3.10776)
 (1.69982,-3.10699)
 (1.69955,-3.10623)
 (1.69927,-3.10546)
 (1.699,-3.1047)
 (1.69873,-3.10394)
 (1.69845,-3.10317)
 (1.69818,-3.10241)
 (1.69791,-3.10165)
 (1.69763,-3.10089)
 (1.69736,-3.10013)
 (1.69709,-3.09936)
 (1.69682,-3.0986)
 (1.69654,-3.09784)
 (1.69627,-3.09708)
 (1.696,-3.09632)
 (1.69573,-3.09556)
 (1.69545,-3.09481)
 (1.69518,-3.09405)
 (1.69491,-3.09329)
 (1.69464,-3.09253)
 (1.69437,-3.09177)
 (1.6941,-3.09102)
 (1.69382,-3.09026)
 (1.69355,-3.0895)
 (1.69328,-3.08875)
 (1.69301,-3.08799)
 (1.69274,-3.08724)
 (1.69247,-3.08648)
 (1.6922,-3.08573)
 (1.69193,-3.08497)
 (1.69166,-3.08422)
 (1.69139,-3.08346)
 (1.69112,-3.08271)
 (1.69085,-3.08196)
 (1.69058,-3.0812)
 (1.69031,-3.08045)
 (1.69004,-3.0797)
 (1.68977,-3.07895)
 (1.6895,-3.0782)
 (1.68923,-3.07745)
 (1.68896,-3.0767)
 (1.68869,-3.07595)
 (1.68842,-3.0752)
 (1.68815,-3.07445)
 (1.68789,-3.0737)
 (1.68762,-3.07295)
 (1.68735,-3.0722)
 (1.68708,-3.07145)
 (1.68681,-3.0707)
 (1.68654,-3.06996)
 (1.68628,-3.06921)
 (1.68601,-3.06846)
 (1.68574,-3.06772)
 (1.68547,-3.06697)
 (1.6852,-3.06623)
 (1.68494,-3.06548)
 (1.68467,-3.06473)
 (1.6844,-3.06399)
 (1.68414,-3.06325)
 (1.68387,-3.0625)
 (1.6836,-3.06176)
 (1.68333,-3.06102)
 (1.68307,-3.06027)
 (1.6828,-3.05953)
 (1.68254,-3.05879)
 (1.68227,-3.05805)
 (1.682,-3.0573)
 (1.68174,-3.05656)
 (1.68147,-3.05582)
 (1.68121,-3.05508)
 (1.68094,-3.05434)
 (1.68067,-3.0536)
 (1.68041,-3.05286)
 (1.68014,-3.05212)
 (1.67988,-3.05138)
 (1.67961,-3.05065)
 (1.67935,-3.04991)
 (1.67908,-3.04917)
 (1.67882,-3.04843)
 (1.67855,-3.04769)
 (1.67829,-3.04696)
 (1.67802,-3.04622)
 (1.67776,-3.04549)
 (1.6775,-3.04475)
 (1.67723,-3.04401)
 (1.67697,-3.04328)
 (1.6767,-3.04254)
 (1.67644,-3.04181)
 (1.67618,-3.04108)
 (1.67591,-3.04034)
 (1.67565,-3.03961)
 (1.67539,-3.03888)
 (1.67512,-3.03814)
 (1.67486,-3.03741)
 (1.6746,-3.03668)
 (1.67433,-3.03595)
 (1.67407,-3.03521)
 (1.67381,-3.03448)
 (1.67355,-3.03375)
 (1.67328,-3.03302)
 (1.67302,-3.03229)
 (1.67276,-3.03156)
 (1.6725,-3.03083)
 (1.67223,-3.0301)
 (1.67197,-3.02938)
 (1.67171,-3.02865)
 (1.67145,-3.02792)
 (1.67119,-3.02719)
 (1.67093,-3.02646)
 (1.67066,-3.02574)
 (1.6704,-3.02501)
 (1.67014,-3.02428)
 (1.66988,-3.02356)
 (1.66962,-3.02283)
 (1.66936,-3.02211)
 (1.6691,-3.02138)
 (1.66884,-3.02066)
 (1.66858,-3.01993)
 (1.66832,-3.01921)
 (1.66806,-3.01848)
 (1.6678,-3.01776)
 (1.66754,-3.01704)
 (1.66728,-3.01631)
 (1.66702,-3.01559)
 (1.66676,-3.01487)
 (1.6665,-3.01415)
 (1.66624,-3.01343)
 (1.66598,-3.0127)
 (1.66572,-3.01198)
 (1.66546,-3.01126)
 (1.6652,-3.01054)
 (1.66494,-3.00982)
 (1.66468,-3.0091)
 (1.66443,-3.00838)
 (1.66417,-3.00767)
 (1.66391,-3.00695)
 (1.66365,-3.00623)
 (1.66339,-3.00551)
 (1.66313,-3.00479)
 (1.66288,-3.00408)
 (1.66262,-3.00336)
 (1.66236,-3.00264)
 (1.6621,-3.00193)
 (1.66185,-3.00121)
 (1.66159,-3.00049)
 (1.66133,-2.99978)
 (1.66107,-2.99906)
 (1.66082,-2.99835)
 (1.66056,-2.99764)
 (1.6603,-2.99692)
 (1.66005,-2.99621)
 (1.65979,-2.99549)
 (1.65953,-2.99478)
 (1.65928,-2.99407)
 (1.65902,-2.99336)
 (1.65876,-2.99264)
 (1.65851,-2.99193)
 (1.65825,-2.99122)
 (1.65799,-2.99051)
 (1.65774,-2.9898)
 (1.65748,-2.98909)
 (1.65723,-2.98838)
 (1.65697,-2.98767)
 (1.65672,-2.98696)
 (1.65646,-2.98625)
 (1.65621,-2.98554)
